Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
25,RD,99.698296,0.331928,0.002513,0.002061,0.324877,0.001082,0.260660,0.016605
25,GM,95.045256,4.899529,0.003462,0.001866,0.309715,0.015966,0.271790,0.013245
25,RWP,95.841964,0.869591,0.002642,0.000600,0.312311,0.002834,0.271497,0.007994
50,RD,99.989813,0.009433,0.001694,0.002078,0.325827,0.000031,0.503981,0.021177
50,GM,96.333050,3.413901,0.004598,0.000701,0.313911,0.011124,0.555955,0.018615
