Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
25,RD,66.985556,10.190247,0.000481,0.000952,0.426324,0.064855,0.060300,0.039188
25,GM,64.228835,20.356912,0.001670,0.001367,0.408779,0.129560,0.089655,0.162257
25,RWP,62.098703,6.455926,0.001193,0.000503,0.395222,0.041088,0.035545,0.013480
50,RD,63.383175,13.972084,0.001619,0.001339,0.403398,0.088924,0.566399,1.079220
50,GM,68.220677,17.218542,0.000993,0.001216,0.434185,0.109586,0.020689,0.027514
50,RWP,65.275913,4.473173,0.001011,0.000577,0.415443,0.028469,0.084745,0.004865
75,RD,54.258258,9.688081,0.001381,0.001181,0.345323,0.061659,0.149393,0.167127
75,GM,62.984352,11.346803,0.000447,0.000782,0.400859,0.072216,0.177296,0.286996
75,RWP,62.278320,2.554400,0.001009,0.000401,0.396366,0.016257,0.165947,0.031210
100,RD,61.033436,14.102749,0.000955,0.001073,0.388443,0.089756,0.447001,0.740657
100,GM,61.290625,9.187578,0.000836,0.001027,0.390079,0.058474,0.127206,0.160648
100,RWP,63.477464,8.123386,0.001018,0.000587,0.403998,0.051701,0.187719,0.042963
125,RD,55.411529,10.788096,0.000558,0.001116,0.352662,0.068660,0.283419,0.280207
125,GM,52.703223,11.676439,0.000603,0.000651,0.335426,0.074314,0.607478,1.002062
125,RWP,64.236726,3.382534,0.001590,0.000488,0.408830,0.021528,0.254467,0.051338
