Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
25,RD,61.108767,8.395372,0.000696,0.000880,0.398246,0.054712,0.031633,0.003081
25,GM,70.136555,14.606387,0.002256,0.000893,0.457080,0.095190,0.029359,0.007987
25,RWP,71.521306,6.857174,0.001691,0.000753,0.466105,0.044688,0.026046,0.003582
50,RD,64.857078,12.008134,0.001007,0.000925,0.422673,0.078257,0.109895,0.027885
50,GM,62.524604,6.405675,0.001081,0.001280,0.407473,0.041746,0.115647,0.014486
50,RWP,73.619200,6.832996,0.001497,0.000462,0.479776,0.044531,0.074572,0.012423
75,RD,48.537469,13.893885,0.001469,0.001186,0.316319,0.090547,0.690768,0.289829
75,GM,54.831020,6.633693,0.001548,0.001329,0.357334,0.043232,0.574728,0.128853
75,RWP,56.774661,3.219281,0.001673,0.000415,0.370001,0.020980,0.455381,0.060369
100,RD,29.861094,3.698119,0.000599,0.001198,0.194605,0.024101,1.632965,0.202414
100,GM,28.543478,5.668613,0.001457,0.001247,0.186018,0.036942,1.747107,0.280909
100,RWP,34.337959,2.196507,0.001570,0.000490,0.223781,0.014315,1.264393,0.098225
125,RD,18.775771,2.732444,0.000316,0.000630,0.122362,0.017807,3.346839,0.499289
125,GM,16.556147,3.704115,0.000295,0.000591,0.107896,0.024140,4.033170,0.906913
125,RWP,19.193469,3.399823,0.001751,0.000669,0.125084,0.022157,3.327226,0.630287
