reactive,50,5,5,1200,250,5,5,60,900,5,3,15,512,5,2,22346,21711,20065,20065,89.7924,92.4186,97.1583,8.26768,635,0,0,635,17820,1679,20134,3550,4231,0,0,1200
reactive,50,5,5,1200,250,5,5,60,900,5,3,15,512,5,3,22345,21787,19222,19222,86.0237,88.2269,97.5028,9.06944,558,0,0,558,18388,1771,20717,1004,5093,0,0,1200
reactive,50,5,5,1200,250,6,6,60,900,5,3,15,512,5,1,22344,21863,19797,19797,88.601,90.5502,97.8473,15.2894,481,0,0,481,19800,1844,22125,1498,4725,0,0,1200
reactive,50,5,5,1200,250,6,6,60,900,5,3,15,512,5,2,22346,21749,19950,19950,89.2777,91.7284,97.3284,10.3972,597,0,0,597,17314,1705,19616,3328,5186,0,0,1200
reactive,50,5,5,1200,250,6,6,60,900,5,3,15,512,5,3,22345,21971,19901,19901,89.0624,90.5785,98.3262,11.261,374,0,0,374,16386,1575,18335,1585,5527,0,0,1200
hybrid,50,5,5,1200,250,1,1,60,900,5,3,15,512,5,1,22344,22335,22158,22158,99.1676,99.2075,99.9597,6.90839,9,900,16683,9,449,36,18077,1020,14031,0,0,1200
hybrid,50,5,5,1200,250,1,1,60,900,5,3,15,512,5,2,22346,21892,20954,20954,93.7707,95.7153,97.9683,5.16471,454,900,13104,454,10675,873,26006,1940,5841,0,0,1200
hybrid,50,5,5,1200,250,1,1,60,900,5,3,15,512,5,3,22345,22335,21344,21344,95.5203,95.563,99.9552,5.59059,10,900,15844,10,491,50,17295,2182,3641,0,0,1200
hybrid,50,5,5,1200,250,2,2,60,900,5,3,15,512,5,1,22344,22222,21538,21538,96.3928,96.922,99.454,9.31958,122,900,15102,122,998,91,17213,949,11907,0,0,1200
hybrid,50,5,5,1200,250,2,2,60,900,5,3,15,512,5,2,22346,22112,21242,21242,95.0595,96.0655,98.9528,7.07444,234,900,14862,234,688,61,16745,2422,7986,0,0,1200
