mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
proactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,1,22345,22272,22092,22092,98.8678,99.1918,99.6733,5.14082,73,540,11623,0,0,0,12163,3800,12985,0,0,1000
proactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,2,22345,20594,20355,20355,91.0942,98.8395,92.1638,4.65035,1751,540,10719,0,0,0,11259,848,11768,0,0,1000
proactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,3,22347,21922,21839,21839,97.7268,99.6214,98.0982,4.90813,425,540,10575,0,0,0,11115,1505,17258,0,0,1000
proactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,4,22346,20697,20555,20555,91.9851,99.3139,92.6206,4.67879,1649,540,12318,0,0,0,12858,2775,17108,0,0,1000
proactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,5,22346,21422,21095,21095,94.4017,98.4735,95.865,6.75388,924,540,9681,0,0,0,10221,2938,16388,0,0,1000
proactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,1,22345,22047,21806,21806,97.5878,98.9069,98.6664,5.32176,298,540,11239,0,0,0,11779,2532,13616,0,0,1000
proactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,2,22345,21144,20978,20978,93.8823,99.2149,94.6252,4.66995,1201,540,10753,0,0,0,11293,1643,13897,0,0,1000
proactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,3,22347,21623,21330,21330,95.4491,98.645,96.7602,7.8291,724,540,10713,0,0,0,11253,3515,15208,0,0,1000
proactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,4,22346,20748,20063,20063,89.7834,96.6985,92.8488,5.54179,1598,540,11233,0,0,0,11773,3316,15758,0,0,1000
proactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,5,22346,20809,20454,20454,91.5332,98.294,93.1218,7.58492,1537,540,8978,0,0,0,9518,3939,14936,0,0,1000
proactive,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,1,22345,21722,21209,21209,94.9161,97.6383,97.2119,5.23248,623,540,10801,0,0,0,11341,2149,12326,0,0,1000
proactive,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,2,22345,21269,20611,20611,92.2399,96.9063,95.1846,6.96352,1076,540,10611,0,0,0,11151,4248,12376,0,0,1000
proactive,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,3,22347,20825,20309,20309,90.8802,97.5222,93.1892,5.58466,1522,540,9697,0,0,0,10237,5856,12442,0,0,1000
proactive,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,4,22346,21172,20657,20657,92.4416,97.5675,94.7463,5.65612,1174,540,11026,0,0,0,11566,4740,14259,0,0,1000
proactive,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,5,22346,20721,20322,20322,90.9425,98.0744,92.728,5.35366,1625,540,8700,0,0,0,9240,4837,14572,0,0,1000
proactive,25,3,5,1000,250,4,4,60,900,5,3,15,512,5,1,22345,22171,21627,21627,96.7868,97.5463,99.2213,5.23825,174,540,10752,0,0,0,11292,4150,12759,0,0,1000
proactive,25,3,5,1000,250,4,4,60,900,5,3,15,512,5,2,22345,21444,21340,21340,95.5023,99.515,95.9678,4.88168,901,540,10749,0,0,0,11289,3814,13309,0,0,1000
proactive,25,3,5,1000,250,4,4,60,900,5,3,15,512,5,3,22347,21650,20901,20901,93.5293,96.5404,96.881,19.5925,697,540,10914,0,0,0,11454,5016,12361,0,0,1000
proactive,25,3,5,1000,250,4,4,60,900,5,3,15,512,5,4,22346,21429,20762,20762,92.9115,96.8874,95.8964,8.42001,917,540,11250,0,0,0,11790,3384,16695,0,0,1000
proactive,25,3,5,1000,250,4,4,60,900,5,3,15,512,5,5,22346,20799,19897,19897,89.0405,95.6633,93.0771,7.01007,1547,540,9252,0,0,0,9792,6743,12190,0,0,1000
proactive,25,3,5,1000,250,5,5,60,900,5,3,15,512,5,1,22345,21295,20211,20211,90.4498,94.9096,95.301,10.0033,1050,540,10471,0,0,0,11011,4798,11662,0,0,1000
proactive,25,3,5,1000,250,5,5,60,900,5,3,15,512,5,2,22345,20645,20233,20233,90.5482,98.0044,92.392,6.26941,1700,540,10999,0,0,0,11539,3329,10787,0,0,1000
proactive,25,3,5,1000,250,5,5,60,900,5,3,15,512,5,3,22347,21200,20564,20564,92.0213,97,94.8673,9.60979,1147,540,10683,0,0,0,11223,4689,11255,0,0,1000
proactive,25,3,5,1000,250,5,5,60,900,5,3,15,512,5,4,22346,21249,20230,20230,90.5307,95.2045,95.0908,12.0188,1097,540,10804,0,0,0,11344,1434,17578,0,0,1000
proactive,25,3,5,1000,250,5,5,60,900,5,3,15,512,5,5,22346,21222,19605,19605,87.7338,92.3805,94.97,23.9601,1124,540,8630,0,0,0,9170,3813,13658,0,0,1000
proactive,25,3,5,1000,250,6,6,60,900,5,3,15,512,5,1,22345,21946,21257,21257,95.1309,96.8605,98.2144,13.61,399,540,9926,0,0,0,10466,3759,12470,0,0,1000
proactive,25,3,5,1000,250,6,6,60,900,5,3,15,512,5,2,22345,19600,18690,18690,83.6429,95.3571,87.7154,7.22238,2745,540,9756,0,0,0,10296,3733,10511,0,0,1000
proactive,25,3,5,1000,250,6,6,60,900,5,3,15,512,5,3,22347,21924,21111,21111,94.4691,96.2917,98.1071,11.0538,423,540,11028,0,0,0,11568,4014,15160,0,0,1000
proactive,25,3,5,1000,250,6,6,60,900,5,3,15,512,5,4,22346,20906,19933,19933,89.2016,95.3458,93.5559,8.67465,1440,540,10184,0,0,0,10724,2133,16428,0,0,1000
proactive,25,3,5,1000,250,6,6,60,900,5,3,15,512,5,5,22346,21298,19982,19982,89.4209,93.821,95.3101,25.2137,1048,540,9435,0,0,0,9975,4337,12202,0,0,1000
reactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,1,22345,22020,21629,21629,96.7957,98.2243,98.5455,5.09567,325,0,0,325,6991,841,8157,3840,12812,0,0,1000
reactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,2,22345,20283,20032,20032,89.6487,98.7625,90.772,5.16898,2062,0,0,2062,12217,818,15097,1174,12103,0,0,1000
reactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,3,22347,21530,21203,21203,94.8807,98.4812,96.344,5.55227,817,0,0,817,9526,872,11215,1479,16306,0,0,1000
reactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,4,22346,20443,19819,19819,88.6915,96.9476,91.4839,4.53941,1903,0,0,1903,8610,809,11322,3890,14349,0,0,1000
reactive,25,3,5,1000,250,1,1,60,900,5,3,15,512,5,5,22346,21136,20159,20159,90.213,95.3776,94.5852,4.45534,1210,0,0,1210,9192,696,11098,2751,15466,0,0,1000
reactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,1,22345,21606,21129,21129,94.5581,97.7923,96.6928,4.89638,739,0,0,739,10116,822,11677,2436,13536,0,0,1000
reactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,2,22345,20748,19665,19665,88.0063,94.7802,92.853,5.31386,1597,0,0,1597,13466,1042,16105,2698,11909,0,0,1000
reactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,3,22347,21142,20191,20191,90.3522,95.5018,94.6078,5.81752,1205,0,0,1205,12482,1271,14958,2876,14889,0,0,1000
reactive,25,3,5,1000,250,2,2,60,900,5,3,15,512,5,4,22346,20413,19659,19659,87.9755,96.3063,91.3497,5.88539,1933,0,0,1933,10073,778,12784,4145,13611,0,0,1000
