mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
proactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,4,22344,22293,22063,22063,98.7424,98.9683,99.7718,5.07431,51,360,4559,0,0,0,4919,8551,13512,0,0,500
proactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,5,22346,22346,22215,22215,99.4138,99.4138,100,4.77595,0,360,4998,0,0,0,5358,12663,9552,0,0,500
reactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,1,22349,22041,21256,21256,95.1094,96.4385,98.6219,4.6178,308,0,0,308,4364,582,5254,9216,12040,0,0,500
reactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,2,22347,22032,21776,21776,97.4448,98.8381,98.5904,4.8583,315,0,0,315,4645,617,5577,11260,10516,0,0,500
reactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,3,22346,21943,21368,21368,95.6234,97.3796,98.1965,4.76034,403,0,0,403,5834,646,6883,11172,10196,0,0,500
reactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,4,22344,22024,21684,21684,97.0462,98.4562,98.5678,4.97989,320,0,0,320,4544,541,5405,7864,13820,0,0,500
reactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,5,22346,22043,21665,21665,96.9525,98.2852,98.6441,4.80909,303,0,0,303,4520,603,5426,16504,5161,0,0,500
reactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,1,22349,21681,20750,20750,92.8453,95.7059,97.0111,6.37015,668,0,0,668,5338,576,6582,8003,12747,0,0,500
reactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,2,22347,21973,20971,20971,93.8426,95.4399,98.3264,9.53561,374,0,0,374,4448,584,5406,11025,9946,0,0,500
reactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,3,22346,22022,21135,21135,94.5807,95.9722,98.5501,4.9419,324,0,0,324,4611,593,5528,9981,11154,0,0,500
