Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std,LBR_mean,LBR_std,PST_mean,PST_std
25,RD,60.228441,8.722631,0.001010,0.001297,0.392509,0.056846,0.009450,0.009242,0.033600,0.041998,231.542610,218.103139
25,GM,59.516212,8.264659,0.001834,0.001072,0.387867,0.053861,0.039985,0.067415,0.290400,0.518272,179.412415,185.866457
25,RWP,65.656424,2.467504,0.001142,0.000523,0.427883,0.016081,0.036955,0.014919,0.164400,0.067675,50.999815,37.062194
50,RD,62.559869,7.393206,0.001169,0.001000,0.407703,0.048181,0.028189,0.032856,0.056200,0.073633,123.921565,114.010602
50,GM,57.716767,15.501409,0.000801,0.001030,0.376140,0.101023,0.047977,0.040122,0.083200,0.072486,155.352732,123.560819
50,RWP,66.668278,3.868329,0.001334,0.000358,0.434477,0.025210,0.070015,0.010278,0.153400,0.065607,125.646078,67.704733
75,RD,66.870335,9.297426,0.000789,0.001575,0.435794,0.060591,0.020422,0.009746,0.019000,0.021335,365.927035,182.394677
75,GM,52.667429,4.106039,0.001163,0.001425,0.343234,0.026759,0.413151,0.324479,0.768200,0.602257,70.729056,114.625056
75,RWP,66.264163,8.242484,0.001081,0.000760,0.431844,0.053716,0.126526,0.051228,0.165800,0.077072,156.453832,94.793833
100,RD,58.597747,13.196518,0.000313,0.000626,0.381882,0.086002,0.056897,0.039882,0.043200,0.036460,143.417700,133.029835
100,GM,73.053649,13.611491,0.002454,0.000268,0.476091,0.088706,0.307374,0.517953,0.473800,0.814719,280.010921,365.880092
100,RWP,65.384751,7.672683,0.000933,0.000623,0.426112,0.050003,0.251207,0.111320,0.268200,0.142744,101.047875,94.514327
125,RD,54.546286,14.834371,0.000899,0.001102,0.355478,0.096676,0.273239,0.315801,0.295000,0.459807,151.805350,178.646011
125,GM,63.824849,19.137973,0.001485,0.001379,0.415947,0.124722,0.158631,0.163965,0.107000,0.109109,127.668377,143.964024
125,RWP,57.501388,3.787791,0.001142,0.000440,0.374736,0.024685,0.408335,0.073228,0.291600,0.139632,218.297523,161.281774
